名次,学校名称,总分,全国排名,星级排名,办学层次
551,黑龙江工业学院,60.02,580,1★,区域知名大学
551,浙江音乐学院,　,580,1★,区域知名大学
551,兴义民族师范学院,60.02,585,1★,区域知名大学
551,山东管理学院,　,595,1★,区域知名大学
551,杭州医学院,　,600,1★,区域知名大学
551,泰州学院,60.02,606,1★,区域知名大学
551,景德镇学院,60.02,612,1★,区域知名大学
551,普洱学院,60.02,612,1★,区域知名大学
551,山东农业工程学院,60.02,616,2★,区域高水平大学
551,昭通学院,60.02,629,1★,区域知名大学
551,福建商学院,　,632,1★,区域知名大学
551,河北环境工程学院,60.02,637,1★,区域知名大学
562,中国消防救援学院,　,500,2★,区域高水平大学
562,山西警察学院,　,520,2★,区域高水平大学
562,新疆警察学院,　,550,2★,区域高水平大学
562,贵州警察学院,　,550,2★,区域高水平大学
562,广西警察学院,　,550,2★,区域高水平大学
562,哈尔滨音乐学院,　,560,2★,区域高水平大学
562,上海海关学院,　,571,1★,区域知名大学
562,营口理工学院,60.01,576,1★,区域知名大学
562,山西能源学院,60.01,585,1★,区域知名大学
562,甘肃医学院,　,600,1★,区域知名大学
562,厦门医学院,　,600,1★,区域知名大学
562,安徽艺术学院,　,600,1★,区域知名大学
562,张家口学院,60.01,608,1★,区域知名大学
562,广西科技师范学院,60.01,626,1★,区域知名大学
562,首钢工学院,60.01,629,1★,区域知名大学
562,豫章师范学院,60.01,629,1★,区域知名大学
562,琼台师范学院,60.01,632,1★,区域知名大学
562,亳州学院,60.01,632,1★,区域知名大学
562,鄂尔多斯应用技术学院,60.01,637,1★,区域知名大学
562,河北水利电力学院,60.01,640,1★,区域知名大学
562,新疆理工学院,60.01,640,1★,区域知名大学
